"field_id","fp_id","lab_no","harvest","fb","fb_sample","db_sample","db_p","db"
"g4",407,331,"H1",2.939,0.342,0.054,15.7,0.461
"g4",408,331,"H1",3.333,0.352,0.049,13.92,0.464
"g4",409,331,"H1",3.304,0.333,0.045,13.63,0.45
"g4",410,331,"H1",2.878,0.319,0.047,14.58,0.42
"g4",411,331,"H1",2.85,0.307,0.047,15.37,0.438
"g4",412,331,"H1",3.826,0.312,0.051,16.31,0.624
"g4",413,331,"H1",2.833,0.342,0.057,16.67,0.472
"g4",414,331,"H1",2.846,0.318,0.047,14.91,0.424
"g4",415,331,"H1",2.483,0.332,0.054,16.14,0.401
"g4",416,331,"H1",2.498,0.342,0.065,19.01,0.475
"g4",417,331,"H1",2.715,0.324,0.057,17.72,0.481
"g4",418,331,"H1",3.165,0.311,0.054,17.4,0.551
"g4",419,331,"H1",2.388,0.319,0.062,19.31,0.461
"g4",420,331,"H1",2.239,0.334,0.054,16.05,0.359
"g4",421,331,"H2",0.273,0.122,0.027,22.29,0.061
"g4",422,331,"H2",0.194,0.912,0.203,22.28,0.043
"g4",423,331,"H2",0.559,0.349,0.059,16.98,0.095
"g4",424,331,"H2",0.333,0.146,0.031,21.03,0.07
"g4",425,331,"H2",0.139,0.069,0.019,27.1,0.038
"g4",426,331,"H2",0.296,0.171,0.035,20.74,0.061
"g4",427,331,"H2",0.648,0.306,0.051,16.56,0.107
"g4",428,331,"H2",0.183,0.092,0.023,24.75,0.045
"g4",429,331,"H2",0.231,0.118,0.025,21.6,0.05
"g4",430,331,"H2",0.201,0.101,0.023,23.13,0.046
"g4",431,331,"H2",0.214,0.117,0.025,21.39,0.046
"g4",432,331,"H2",0.428,0.181,0.035,19.1,0.082
"g4",433,331,"H2",0.218,0.087,0.022,24.98,0.054
"g4",434,331,"H2",0.351,0.139,0.03,21.72,0.076
"g4",435,331,"H2",0.174,0.078,0.016,20.62,0.036
"g4",436,331,"H2",0.183,0.077,0.017,21.64,0.04
"g4",437,331,"H2",0.196,0.093,0.024,25.77,0.051
"g4",438,331,"H2",0.24,0.114,0.033,29.13,0.07
"g4",439,331,"H2",0.163,0.092,0.024,25.67,0.042
"g4",440,331,"H2",0.228,0.107,0.026,24.65,0.056
"g4",441,331,"H3",0.039,0.052,0.024,45.42,0.018
"g4",442,331,"H3",0.081,0.062,0.031,49.31,0.04
"g4",443,331,"H3",0.437,0.136,0.047,34.4,0.15
"g4",444,331,"H3",0.147,0.09,0.043,47.62,0.07
"g4",445,331,"H3",0.16,0.154,0.049,31.57,0.05
"g4",446,331,"H3",0.239,0.123,0.044,35.57,0.085
"g4",447,331,"H3",0.347,0.143,0.043,30.49,0.106
"g4",448,331,"H3",0.208,0.1,0.039,38.86,0.081
"g4",449,331,"H3",0.344,0.15,0.056,37.58,0.129
"g4",450,331,"H3",0.091,0.104,0.041,39.43,0.036
"g4",451,331,"H3",0.176,0.124,0.047,37.44,0.066
"g4",452,331,"H3",0.196,0.189,0.049,25.81,0.051
"g4",453,331,"H3",0.203,0.109,0.041,37.37,0.076
"g4",454,331,"H3",0.174,0.103,0.04,38.89,0.068
"g4",455,331,"H3",0.313,0.128,0.041,32.12,0.1
"g4",456,331,"H3",0.048,0.1,0.047,47.19,0.023
"g4",457,331,"H3",0.057,0.092,0.036,39.27,0.022
"g4",458,331,"H3",0.043,0.095,0.03,31.77,0.014
"g4",459,331,"H3",0.035,0.083,0.035,42.31,0.015
"g4",460,331,"H3",0.069,0.079,0.038,48.94,0.034
