field_id,fp_id,lab_no,harvest,doy,fb,fb_sample,db_sample,db_p,db
g3,301,331,H1,148,1.43,0.288,0.087,30.21,0.432
g3,302,331,H1,148,1.239,0.296,0.083,28.19,0.349
g3,303,331,H1,148,0.963,0.289,0.096,33.32,0.321
g3,304,331,H1,148,0.964,0.286,0.079,27.59,0.266
g3,305,331,H1,148,1.114,0.301,0.084,27.97,0.312
g3,306,331,H1,148,1.037,0.346,0.118,34.1,0.354
g3,307,331,H1,148,0.836,0.327,0.096,29.46,0.246
g3,308,331,H1,148,1.056,0.341,0.109,31.85,0.336
g3,309,331,H1,148,0.957,0.322,0.105,32.49,0.311
g3,310,331,H1,148,0.684,0.339,0.108,31.86,0.218
g3,311,331,H1,148,0.911,0.289,0.091,31.36,0.286
g3,312,331,H1,148,1.2,0.347,0.098,28.16,0.338
g3,313,331,H1,148,0.877,0.312,0.097,31.05,0.272
g3,314,331,H1,148,0.809,0.383,0.125,32.7,0.265
g3,315,331,H1,148,0.422,0.223,0.072,32.49,0.137
g3,316,331,H1,148,0.561,0.277,0.093,33.75,0.189
g3,317,331,H1,148,0.408,0.184,0.06,32.46,0.132
g3,318,331,H1,148,0.564,0.315,0.095,30.04,0.169
g3,319,331,H1,148,0.392,0.151,0.043,28.25,0.111
g3,320,331,H1,148,0.385,0.187,0.059,31.35,0.121
