field_id,fp_id,lab_no,harvest,doy,fb,fb_sample,db_sample,db_p,db
g3,321,331,H2,267,0.199,0.104,0.043,40.9,0.081
g3,322,331,H2,267,0.061,0.061,0.028,45.1,0.028
g3,323,331,H2,267,0.095,0.095,0.045,47.1,0.045
g3,324,331,H2,267,0.127,0.103,0.041,39.8,0.051
g3,325,331,H2,267,0.154,0.125,0.05,40.2,0.062
g3,326,331,H2,267,0.074,0.106,0.05,47.4,0.035
g3,327,331,H2,267,0.091,0.121,0.054,44.8,0.041
g3,328,331,H2,267,0.03,0.101,0.042,41.7,0.013
g3,329,331,H2,267,0.13,0.129,0.052,40.3,0.052
g3,330,331,H2,267,0.104,0.109,0.043,39.1,0.041
g3,331,331,H2,267,0.137,0.166,0.07,42.4,0.058
g3,332,331,H2,267,0.096,0.119,0.054,45.3,0.044
g3,333,331,H2,267,0.045,0.096,0.044,46.2,0.021
g3,334,331,H2,267,0.124,0.141,0.063,44.4,0.055
g3,335,331,H2,267,0.054,0.126,0.056,44.6,0.024
g3,336,331,H2,267,0.041,0.104,0.05,48.1,0.02
g3,337,331,H2,267,0.082,0.12,0.054,45.4,0.037
g3,338,331,H2,267,0.043,0.12,0.047,39.2,0.017
g3,339,331,H2,267,0.058,0.128,0.05,38.7,0.022
g3,340,331,H2,267,0.082,0.133,0.049,37.2,0.031
