field_id,fp_id,lab_no,harvest,doy,fb,fb_sample,db_sample,db_p,db
g4,421,331,H2,157,0.273,0.122,0.027,22.29,0.061
g4,422,331,H2,157,0.194,0.912,0.203,22.28,0.043
g4,423,331,H2,157,0.559,0.349,0.059,16.98,0.095
g4,424,331,H2,157,0.333,0.146,0.031,21.03,0.07
g4,425,331,H2,157,0.139,0.069,0.019,27.1,0.038
g4,426,331,H2,157,0.296,0.171,0.035,20.74,0.061
g4,427,331,H2,157,0.648,0.306,0.051,16.56,0.107
g4,428,331,H2,157,0.183,0.092,0.023,24.75,0.045
g4,429,331,H2,157,0.231,0.118,0.025,21.6,0.05
g4,430,331,H2,157,0.201,0.101,0.023,23.13,0.046
g4,431,331,H2,157,0.214,0.117,0.025,21.39,0.046
g4,432,331,H2,157,0.428,0.181,0.035,19.1,0.082
g4,433,331,H2,157,0.218,0.087,0.022,24.98,0.054
g4,434,331,H2,157,0.351,0.139,0.03,21.72,0.076
g4,435,331,H2,157,0.174,0.078,0.016,20.62,0.036
g4,436,331,H2,157,0.183,0.077,0.017,21.64,0.04
g4,437,331,H2,157,0.196,0.093,0.024,25.77,0.051
g4,438,331,H2,157,0.24,0.114,0.033,29.13,0.07
g4,439,331,H2,157,0.163,0.092,0.024,25.67,0.042
g4,440,331,H2,157,0.228,0.107,0.026,24.65,0.056
