"field_id","fp_id","lab_no","harvest","fb","fb_samlpe","db_sample","db_p","db","C","N","ADF"
"BG","A06",340,2,0.111,56.2,23.9566666666667,43.3586333333333,0.0469,43.567,1.326,33.4883
"BG","A07",340,2,0.071,41.1333333333333,19.48,47.5224,0.0336,43.8318,1.2314,33.6144
"BG","A08",340,2,0.162266666666667,83,37.5666666666667,45.6208333333333,0.073,44.1861,1.2249,33.128
"BG","A09",340,2,0.1596,88.5333333333333,39.14,44.2972,0.0704666666666667,44.0586,1.1916,33.758
"BG","A10",340,2,0.112133333333333,64.3333333333333,28.1366666666667,44.2177,0.0491666666666667,43.6668,1.3386,31.9687
