"field_id","fp_id","harvest","PAN","lab_no","doy","fb","fb_sample","db_sample","db_p","db","logdb","n","c","cn_ratio","adf","source",".partitions","pls_n_pred","pls_adf_pred","rf_n_pred","rf_adf_pred","gp_n_pred","gp_adf_pred","svm_n_pred","svm_adf_pred"
"BG","A09","H2",59.58769601,340,"178",0.1596,88.53333333,39.14,44.2972,0.070466667,-2.65261548948374,1.1916,44.0586,36.9743202416918,33.758,"Rhön","2",1.20718688569195,32.628328672629,1.27058238909533,32.9998413232404,1.30296073545939,33.1620221512563,1.25883890271002,34.2439444204645
"BG","A10","H2",61.5615787866667,340,"178",0.112133333,64.33333333,28.13666667,44.2177,0.049166667,-3.01253938509071,1.3386,43.6668,32.6212460779919,31.9687,"Rhön","2",1.2050047561304,32.4054761524525,1.30343469117323,32.5878131299783,1.32246252855196,32.9098006820642,1.2775906497979,34.1759577886051
"BG","A14","H3",29.83722243,340,"192",0.3326,163.0666667,70.66666667,43.2252,0.143666667,-1.94025947522631,1.0779,44.4072,41.1978847759532,34.1614,"Rhön","2",1.10260732364122,33.3559682948191,1.13426824653593,32.8823446495516,1.18920347305632,32.8431342573819,1.09602446679327,33.6891480027911
"BGL","B05","H1",60.7281224,340,"166",0.98,141,33.16666667,25.54647996,0.2473,-1.39715310445477,1.809927117,43.3915842,23.9742163054182,31.50320065,"Rhön","2",1.92625872394978,29.836648187385,1.84564277270623,29.8174757868864,1.77062126117072,30.3721032120724,1.57310356283438,32.8363053639877
"BGL","B07","H2",63.6277968566667,340,"178",0.735,261.2666667,70.51,29.43910344,0.213733333,-1.54302614847442,1.465301829,43.09740737,29.4119658605845,31.43457852,"Rhön","2",1.58439181873565,31.0444217062006,1.5326650960903,30.6871071325763,1.55394790410295,30.8929177715722,1.61454063862913,31.2044744741908
"BGL","B09","H2",63.5274729133333,340,"178",1.347333333,368.4,95.36,28.92895204,0.3902,-0.941095850793126,1.65859824,43.06298989,25.963484616986,31.97867779,"Rhön","2",1.58588030317639,30.9145685198636,1.39197345575454,31.5855248442564,1.42308554141636,31.757900933775,1.43836761485137,32.0056159833515
"GH","C01","H1",32.3216810933333,340,"166",1.093333333,139,38.21,27.50976667,0.2995,-1.20564086142663,1.3657,43.1018,31.5602255253716,34.0854,"Rhön","2",1.41773391714854,33.6807245998403,1.5315530029388,30.737825527682,1.53287588577972,31.7408837895794,1.38158067953319,34.2942568697672
"GH","C03","H1",73.7973808933333,340,"166",1.263,164.6666667,44.44333333,26.95623333,0.340466667,-1.07743805245765,1.2779,43.1951,33.8016276703967,32.8416,"Rhön","2",1.37205969083306,32.0588532055867,1.4736086642408,32.3059326231066,1.34929043800209,32.6022336007053,1.31455055430813,33.0960247672294
"GH","C06","H2",103.771858366667,340,"178",1.061133333,183.0666667,58.87666667,32.05813333,0.339766667,-1.07949617049481,1.1686,42.6747,36.5177990758172,32.1407,"Rhön","2",1.23080475089551,31.4910840459925,1.25973839269953,32.461850753679,1.38596399035782,31.7364874846329,1.34231551314285,31.3737049996343
"GHL","D01","H1",72.0187245466667,340,"166",0.747,155.6666667,41.52,28.9383105,0.206,-1.57987911019256,1.624901237,43.3099627,26.6539046889777,31.41156571,"Rhön","2",1.82507247085647,29.6148904307996,1.8925779689338,29.5768719448494,1.51600475202897,31.0983164258297,1.55898534532224,30.4657880236268
"GHL","D02","H1",74.6835777066667,340,"166",0.767666667,247.6666667,50.78,23.0187122,0.177133333,-1.73085253620636,1.814846713,43.4520032,23.9425197118562,30.28924547,"Rhön","2",1.91706276968226,28.8812174067896,1.9325849576707,29.4924437751064,1.58004171528138,30.7171829352805,1.6442588542496,29.7945514969209
"GHL","D04","H1",85.7076195433333,340,"166",1.146333333,319.3333333,73.34,25.9884923,0.2952,-1.22010218625582,1.684560871,43.3537311,25.7359243268331,31.12211117,"Rhön","2",1.85564642359988,30.1889468791436,1.66831653554007,30.2316071878347,1.71527062438985,30.040005175954,1.70957091425915,30.2498892423201
