"field_id","fp_id","lab_no","harvest","PAN","WV_450","WV_454","WV_458","WV_462","WV_466","WV_470","WV_474","WV_478","WV_482","WV_486","WV_490","WV_494","WV_498","WV_502","WV_506","WV_510","WV_514","WV_518","WV_522","WV_526","WV_530","WV_534","WV_538","WV_542","WV_546","WV_550","WV_554","WV_558","WV_562","WV_566","WV_570","WV_574","WV_578","WV_582","WV_586","WV_590","WV_594","WV_598","WV_602","WV_606","WV_610","WV_614","WV_618","WV_622","WV_626","WV_630","WV_634","WV_638","WV_642","WV_646","WV_650","WV_654","WV_658","WV_662","WV_666","WV_670","WV_674","WV_678","WV_682","WV_686","WV_690","WV_694","WV_698","WV_702","WV_706","WV_710","WV_714","WV_718","WV_722","WV_726","WV_730","WV_734","WV_738","WV_742","WV_746","WV_750","WV_754","WV_758","WV_762","WV_766","WV_770","WV_774","WV_778","WV_782","WV_786","WV_790","WV_794","WV_798","WV_802","WV_806","WV_810","WV_814","WV_818","WV_822","WV_826","WV_830","WV_834","WV_838","WV_842","WV_846","WV_850","WV_854","WV_858","WV_862","WV_866","WV_870","WV_874","WV_878","WV_882","WV_886","WV_890","WV_894","WV_898","WV_902","WV_906","WV_910","WV_914","WV_918","WV_922","WV_926","WV_930","WV_934","WV_938","WV_942","WV_946","WV_950","WV_954","WV_958","WV_962","WV_966","WV_970","WV_974","WV_978","WV_982","WV_986","WV_990","WV_994","WV_998"
"GHL","D01",340,1,72.0187245466667,600.4537656,551.531016833333,496.097323366667,499.990739266667,507.913437833333,504.518500466667,505.020754133333,499.172356066667,509.898820933333,513.854961233333,506.909423066667,522.9626867,561.296636966667,579.023429166667,602.6893771,673.505893233333,763.609247966667,855.9001113,952.607418633333,1041.66264033333,1107.98714433333,1160.641763,1212.266476,1242.59261866667,1256.94219966667,1261.89954133333,1256.87577633333,1227.91244233333,1192.28235533333,1147.83051633333,1102.452191,1069.82981166667,1035.67285533333,1005.7618083,986.014920966667,965.374722366667,950.9649816,927.906429,900.473624266667,873.566793866667,850.367109533333,835.662461333333,819.619859133333,806.547604133333,792.410182966667,768.228646466667,740.014931366667,716.093647733333,684.5433417,662.9115814,643.3055084,621.767415433333,608.963575166667,605.9624177,615.4352592,649.765002833333,727.083047633333,869.0920139,1086.12685,1386.88230966667,1772.09104766667,2205.92455266667,2683.43688433333,3230.900644,3865.758747,4618.41766733333,5455.399169,6301.018229,7115.66684,7841.18457433333,8424.89298733333,8860.88606066667,9185.59170633333,9480.93610566667,9800.915805,10130.7765283333,10424.303971,10609.39444,10696.1280666667,10713.2823666667,10715.52952,10727.7528366667,10737.73863,10740.608,10739.1916733333,10732.0841533333,10722.2839566667,10722.7584866667,10747.93317,10806.54274,10885.4071233333,10978.1905766667,11063.4156666667,11130.4592166667,11178.6053933333,11220.0403966667,11254.6398166667,11278.7214666667,11304.5969166667,11323.0111833333,11330.8606166667,11324.34335,11299.55669,11252.6098333333,11188.52052,11100.2275833333,10983.19868,10853.7083366667,10718.07605,10579.08089,10435.4806766667,10271.7773996667,10093.064422,9907.15304233333,9715.046957,9499.346171,9283.91404733333,9090.76446666667,8895.04499766667,8704.77090166667,8539.39317333333,8391.684273,8267.05807833333,8154.471772,8066.66367966667,7990.56236866667,7883.83066766667,7753.34677966667,7607.06781266667,7439.429009,7279.484125,7134.12962066667,6980.45700566667,6834.41285466667,6691.937326,6515.70476,6311.67736733333,6085.20792266667
"GHL","D02",340,1,74.6835777066667,600.323546666667,564.868763233333,535.499466533333,527.677339066667,522.976437166667,515.765712,526.049142366667,512.868448466667,510.192560966667,510.897195466667,528.761389366667,549.244604733333,556.917080366667,564.875882933333,615.6365828,684.950293266667,782.3300665,859.7750464,960.9711517,1059.8490248,1140.20745806667,1201.272811,1237.071187,1263.02122466667,1283.876697,1282.54875933333,1288.34530566667,1237.631714,1203.25565566667,1157.37679466667,1096.61260096667,1064.63799886667,1021.79973823333,998.669419166667,981.350968133333,968.119105066667,946.319633666667,926.528221033333,895.802873266667,873.426006066667,846.305088233333,824.227992166667,806.4563709,797.7420066,786.156726633333,767.935257333333,739.148185233333,714.1986135,691.8183968,665.002323033333,637.7948962,622.070243666667,605.348353066667,599.724733033333,605.6898537,629.879724166667,706.574935233333,855.0024065,1076.6552087,1391.19143266667,1804.849131,2267.57510866667,2788.165027,3389.328899,4057.04345433333,4844.063159,5702.01164333333,6558.185709,7374.75483033333,8100.19752833333,8666.91150666667,9092.34251233333,9376.15944166667,9663.41452833333,9980.46899766667,10306.6940353333,10605.9232206667,10769.567605,10836.299756,10859.302894,10866.9795093333,10892.243627,10928.9027626667,10965.078057,10996.5536696667,11024.174502,11028.2223033333,11027.3538413333,11045.6535533333,11112.81121,11195.2945913333,11284.3893096667,11374.1903606667,11449.9971323333,11489.0815156667,11523.4276236667,11556.07002,11587.55356,11621.10992,11646.4367533333,11654.0296066667,11652.7824266667,11627.2963166667,11569.0336586667,11498.9990393333,11415.694513,11323.4886673333,11215.07509,11088.2246646667,10967.8224363333,10837.9549916667,10688.0867853333,10524.12769,10359.7094256667,10174.8598423333,9945.90712666667,9715.044166,9520.75886933333,9310.13210366667,9069.59004333333,8889.24036833333,8774.41213733333,8652.78741166667,8530.22838033333,8402.197546,8278.02397166667,8140.14683166667,7987.6541,7817.12669433333,7638.77965,7454.12751766667,7261.68580833333,7043.55563333333,6802.04089933333,6608.561436,6438.66325333333,6262.33816333333,6086.241034
"GHL","D03",340,1,87.27849252,744.654756866667,688.215542433333,662.609526433333,639.941826733333,638.4467687,652.188102766667,641.031661466667,628.6177068,646.0736413,650.721350066667,636.4828015,656.107094966667,683.296464366667,725.5685494,748.039098466667,811.138418866667,901.3742231,1021.3956534,1124.66908766667,1233.80773566667,1305.716904,1358.832654,1403.81114633333,1461.24911966667,1467.679477,1475.615026,1459.15633766667,1432.75452966667,1382.44966633333,1325.25541633333,1269.901821,1229.96187066667,1186.820365,1168.905301,1137.298305,1125.83616666667,1107.75117333333,1087.037962,1058.38264066667,1028.17973236667,1008.1313644,990.1840363,974.9706057,964.2012929,952.537208666667,926.434520466667,898.765842333333,868.859421933333,846.677677633333,825.947699233333,799.615304033333,779.265624966667,765.169882566667,760.8257961,767.360852066667,799.495576266667,883.8183563,1029.9683258,1258.96803366667,1589.778906,2005.38390133333,2493.07694166667,3048.63525766667,3677.053305,4410.79294733333,5264.97228066667,6208.18220633333,7181.840342,8103.56451766667,8935.37935933333,9608.12518066667,10149.5896643333,10558.1283133333,10924.9787266667,11278.54081,11622.5256766667,11902.2406766667,12086.5287366667,12134.74287,12140.3421833333,12183.8305633333,12247.1266633333,12327.20652,12406.45973,12477.92558,12527.58595,12564.2955966667,12603.0376366667,12654.4899266667,12713.7068866667,12785.41061,12873.9894533333,12968.8953633333,13056.64993,13129.1849266667,13188.6618333333,13246.9436166667,13294.8022066667,13334.7939033333,13372.53855,13407.1211733333,13435.2724366667,13451.9498466667,13438.4603666667,13390.13437,13320.3286066667,13226.2862266667,13113.3441633333,12973.8518633333,12821.6149666667,12649.83096,12497.6016833333,12326.6177066667,12127.3334166667,11918.0546166667,11659.43234,11374.6659033333,11084.72217,10823.84703,10603.3610266667,10385.660024,10214.9007113333,10058.344895,9896.32444466667,9724.42777266667,9543.21867966667,9352.30491566667,9175.694427,8996.748384,8808.00516433333,8620.396287,8427.825448,8246.58817933333,8057.38558966667,7878.91213933333,7691.5143,7494.63375066667,7275.448925
"GHL","D04",340,1,85.7076195433333,810.6792475,711.437317766667,677.798571033333,688.487923033333,697.0779663,668.964926366667,670.837260533333,669.5243484,670.058155933333,682.489837066667,690.5235173,715.6487219,721.663353433333,741.485363533333,789.300506866667,857.6601986,952.2449109,1067.66301733333,1159.134474,1251.797644,1328.94824133333,1384.59476766667,1440.586712,1468.85235,1488.61151166667,1501.104843,1488.56812333333,1467.587163,1424.65504533333,1372.88953033333,1331.65696033333,1297.434923,1251.99629833333,1232.610169,1210.26629533333,1185.64020633333,1178.64142033333,1160.73275766667,1137.57596666667,1111.533657,1088.57014466667,1075.42461486667,1063.3031809,1047.56092633333,1033.90482996667,1011.63394266667,984.4505372,955.181547866667,930.7440496,908.779971633333,883.4137414,864.1935039,848.704168266667,842.0640211,840.951603266667,872.1674209,953.910693566667,1096.75847126667,1333.9384,1664.60381333333,2072.61604933333,2555.62338366667,3092.81383533333,3682.81812433333,4355.87009533333,5151.599254,6042.94519833333,6963.15663066667,7827.602754,8602.65776166667,9254.64577766667,9777.571075,10156.7589733333,10468.2058,10791.0719266667,11121.39422,11409.25545,11626.94828,11722.8605433333,11754.37364,11793.98793,11851.74855,11912.4069266667,11959.47149,11985.1285033333,11994.7450833333,12002.2230633333,12023.7207766667,12055.2243566667,12100.32666,12167.18275,12246.6509266667,12339.95572,12429.3482433333,12518.93221,12583.4696733333,12638.77316,12681.53767,12718.8090533333,12750.10082,12778.32334,12796.53234,12807.1107533333,12798.8483533333,12762.98193,12691.78554,12608.23712,12518.4726666667,12419.3434566667,12296.8887466667,12157.4734633333,11995.8908766667,11828.6072766667,11638.6670266667,11440.5087533333,11234.9325133333,11004.9422433333,10739.7819333333,10473.3375633333,10235.0938466667,10022.2974363333,9817.00827033333,9647.37077766667,9503.43872766667,9401.78882966667,9306.54068033333,9211.29105633333,9102.57697533333,8967.68388033333,8806.58912333333,8626.24913,8431.28059533333,8235.029352,8029.73188933333,7808.34034066667,7575.91584066667,7349.43236366667,7118.20454266667
"GHL","D05",340,1,112.3226951,963.074030166667,890.567399933333,845.8918132,819.703263466667,819.338393233333,823.174081466667,807.334447766667,801.095593633333,799.901952966667,839.0107492,808.117363966667,836.756728033333,860.237901833333,900.245323433333,941.444713066667,1037.22092216667,1155.804444,1282.069874,1423.12546566667,1562.105231,1659.15069666667,1735.38847766667,1808.32973433333,1839.25930433333,1875.428224,1890.07619966667,1880.81369633333,1834.85712333333,1781.89948366667,1711.055849,1642.801379,1581.60518866667,1540.16926233333,1500.958173,1476.66816966667,1456.381058,1421.01753733333,1393.43709233333,1358.71865233333,1320.96338433333,1285.74631666667,1255.10816766667,1244.233628,1227.43290166667,1207.21928766667,1174.344162,1142.71547633333,1108.91483166667,1074.75132463333,1036.23885973333,1003.57610263333,974.208278933333,950.602111466667,944.663601666667,959.388786233333,999.149758433333,1092.29543633333,1275.57479066667,1567.71435766667,1975.403661,2547.61870233333,3203.55033966667,3932.50291533333,4768.57347466667,5713.923639,6799.830704,7989.52778666667,9150.92966433333,10142.4372193333,10883.41963,11300.3620033333,11687.5466633333,12085.42409,12540.7324833333,13023.8313866667,13344.39533,13556.32227,13512.67818,13373.4360133333,13328.9063433333,13389.6792566667,13566.7201966667,13820.7833033333,14117.5850133333,14442.2786433333,14773.91186,15061.66245,15318.6866133333,15491.2914533333,15652.1375033333,15827.02862,15941.2011233333,16047.90482,16147.9726366667,16236.8432366667,16322.05083,16395.49752,16464.64687,16536.99655,16584.9032966667,16623.3993333333,16664.2124066667,16694.0630266667,16694.1088766667,16680.4666166667,16641.7678766667,16587.4827033333,16524.33266,16442.5260966667,16347.6399,16233.0260866667,16097.9732,15947.75797,15772.4721966667,15564.6318833333,15323.5193133333,15074.8374766667,14820.6508866667,14515.8825166667,14188.12654,13905.9748666667,13663.29639,13412.4524733333,13126.51708,12861.1398866667,12635.6105066667,12402.7461066667,12161.2983733333,11941.8730366667,11739.2378466667,11515.1758466667,11257.2396866667,10981.47126,10695.1070616667,10418.4556373333,10139.9861856667,9852.39096266667,9540.288147
