"field_id","fp_id","harvest","PAN","WV_450","WV_454","WV_458","WV_462","WV_466","WV_470","WV_474","WV_478","WV_482","WV_486","WV_490","WV_494","WV_498","WV_502","WV_506","WV_510","WV_514","WV_518","WV_522","WV_526","WV_530","WV_534","WV_538","WV_542","WV_546","WV_550","WV_554","WV_558","WV_562","WV_566","WV_570","WV_574","WV_578","WV_582","WV_586","WV_590","WV_594","WV_598","WV_602","WV_606","WV_610","WV_614","WV_618","WV_622","WV_626","WV_630","WV_634","WV_638","WV_642","WV_646","WV_650","WV_654","WV_658","WV_662","WV_666","WV_670","WV_674","WV_678","WV_682","WV_686","WV_690","WV_694","WV_698","WV_702","WV_706","WV_710","WV_714","WV_718","WV_722","WV_726","WV_730","WV_734","WV_738","WV_742","WV_746","WV_750","WV_754","WV_758","WV_762","WV_766","WV_770","WV_774","WV_778","WV_782","WV_786","WV_790","WV_794","WV_798","WV_802","WV_806","WV_810","WV_814","WV_818","WV_822","WV_826","WV_830","WV_834","WV_838","WV_842","WV_846","WV_850","WV_854","WV_858","WV_862","WV_866","WV_870","WV_874","WV_878","WV_882","WV_886","WV_890","WV_894","WV_898","WV_902","WV_906","WV_910","WV_914","WV_918","WV_922","WV_926","WV_930","WV_934","WV_938","WV_942","WV_946","WV_950","WV_954","WV_958","WV_962","WV_966","WV_970","WV_974","WV_978","WV_982","WV_986","WV_990","WV_994","WV_998"
"g4",421,"H2",20.5595,440.6401,301.3621,308.6177,292.333,287.4596,310.5269,317.7895,287.0187,316.0757,322.8896,340.5745,310.9909,335.5884,354.1493,364.6415,401.3841,416.6092,441.2757,502.2668,555.1388,582.3493,611.6564,628.253,647.4259,651.0601,655.6789,672.9607,661.3457,652.0719,622.5248,618.5712,595.3802,592.6466,585.3804,582.8049,566.6207,572.7689,571.9983,558.6792,544.2414,546.2876,541.0957,537.7977,534.3157,526.3708,529.5087,526.4728,520.1713,513.8205,509.3876,499.5179,492.6484,492.4453,490.8525,482.254,489.9354,506.5091,529.9243,570.9053,632.4742,720.3398,840.2105,981.7712,1141.2625,1310.3016,1497.8902,1709.4802,1960.8205,2217.8793,2457.0797,2689.5849,2899.4297,3063.3188,3206.0686,3312.9301,3404.7399,3501.2165,3585.1474,3647.5528,3700.6443,3730.1156,3747.8354,3767.705,3785.5514,3806.7785,3831.8161,3853.5969,3866.5514,3875.7551,3881.4286,3887.6131,3898.7816,3911.3892,3909.3903,3907.0217,3921.2882,3944.0005,3965.5219,3977.4424,3989.2417,3999.5715,4010.0087,4023.9459,4037.1121,4048.7961,4053.9139,4060.9105,4069.407,4061.0965,4057.2498,4047.8517,4037.8678,4026.934,4015.0722,4004.1939,3966.5522,3916.1188,3842.4898,3760.0195,3691.1974,3619.6359,3541.5468,3471.5,3381.6748,3290.7109,3194.2767,3089.4079,2994.2463,2913.1624,2825.3681,2726.8676,2632.6595,2546.0072,2462.349,2371.3362,2282.7758,2206.1494,2122.5678
"g4",422,"H2",20.2462,295.853,275.1909,262.6976,294.2356,287.6504,267.3508,265.2398,274.678,279.432,278.9614,291.3606,309.5215,336.1452,302.3105,333.7758,384.2021,424.3161,465.2466,497.8511,543.2376,581.1719,588.5486,625.8519,647.1307,640.8262,646.2361,656.6742,655.5402,629.4872,627.2106,610.6504,599.9121,578.0682,558.6609,560.0181,547.9414,551.8939,538.1189,541.4853,529.0924,524.0783,515.7686,517.2247,515.2506,505.8632,501.9582,493.2809,479.2844,467.2623,463.0804,459.3563,457.604,452.9988,445.3222,440.1674,444.4776,457.0685,478.2237,523.1323,591.444,691.6024,819.8461,974.9818,1137.7308,1322.5767,1516.4193,1727.4227,1970.5168,2225.1173,2451.7192,2653.1915,2849.3479,3007.2783,3132.3655,3229.3692,3307.8798,3371.5088,3437.3159,3490.4764,3531.4201,3573.1188,3612.6103,3633.0664,3643.3173,3663.2273,3682.0582,3691.9678,3690.6835,3696.3396,3710.4503,3720.3539,3723.4077,3723.0266,3734.9898,3756.621,3775.3893,3794.148,3816.0574,3848.1589,3880.2095,3896.5125,3900.45,3891.4719,3894.3027,3890.9049,3898.4936,3898.219,3910.7539,3922.9451,3938.8618,3943.0958,3932.2209,3913.8569,3879.2163,3858.6281,3843.9537,3833.5251,3825.1187,3794.8668,3759.886,3705.285,3631.16,3557.9707,3468.5126,3384.7957,3313.8978,3229.0037,3141.7467,3051.7127,2950.1001,2886.1565,2862.6061,2849.8404,2836.6006,2811.8379,2710.6203,2537.3447,2322.7438
"g4",423,"H2",19.6319,288.7319,262.3085,206.1382,235.7424,235.5424,226.6001,216.5241,235.2853,225.48,231.327,227.2838,246.6567,249.661,237.7236,258.206,299.333,333.1427,372.6171,429.5885,481.0377,519.5914,541.2608,563.3171,584.7885,604.0798,588.5801,591.226,578.3515,556.1227,541.0639,519.3652,489.0958,472.0581,455.1996,436.1522,431.11,427.5334,419.8077,406.4744,392.3861,385.7905,378.1641,370.6141,354.9385,355.5107,349.8244,339.498,328.7554,317.2317,303.0035,292.7427,285.6886,278.2511,274.8926,266.8138,271.9312,281.0976,309.9678,357.3103,419.2212,517.0274,648.6955,807.3691,992.029,1193.7449,1421.5111,1690.4948,1984.0858,2284.2571,2585.5822,2872.4338,3128.5054,3336.2775,3506.2237,3642.0404,3754.4977,3841.3128,3915.4567,3980.9584,4039.9627,4079.4662,4101.4553,4120.12,4138.06,4148.6611,4145.8418,4140.3149,4139.2791,4144.8142,4140.8888,4133.8858,4127.2406,4142.7998,4162.8852,4184.3808,4195.927,4212.5112,4227.2415,4242.6866,4240.9874,4236.2464,4224.1307,4227.5534,4230.1521,4229.7315,4224.3191,4219.1524,4214.1762,4202.2543,4184.6001,4152.6537,4123.5494,4094.6435,4066.8753,4032.0592,4001.0532,3961.8972,3918.4097,3868.6736,3811.3357,3737.9315,3663.7884,3596.518,3524.1585,3453.8243,3370.9113,3266.8525,3152.3307,3039.3442,2927.1219,2831.0918,2751.2286,2679.5672,2633.5176,2597.2912,2575.1965,2533.5031,2480.4032
"g4",424,"H2",21.175,242.9422,228.4792,248.8149,226.1503,239.4082,232.4661,229.8134,252.2075,235.0037,239.3314,259.7516,258.8071,274.4899,265.6687,281.4601,307.2709,353.0353,393.4079,417.8084,471.3521,512.1164,539.4659,583.4556,588.5664,605.4419,603.9237,594.6528,595.6007,579.6459,563.0952,537.3432,533.7687,514.2582,496.0923,468.2866,463.4008,464.9316,455.2357,445.224,423.2982,410.8558,402.2686,390.1662,384.2043,382.8054,371.9023,372.8836,353.2513,337.3085,328.9728,319.3228,305.5664,298.5878,295.7556,287.6576,284.1911,296.3786,322.1204,361.1972,431.3197,540.3573,675.5259,833.3952,1017.6507,1216.5712,1442.5173,1699.5379,1991.7276,2296.0385,2594.4502,2873.0783,3127.3709,3348.7836,3542.5015,3681.536,3798.5907,3901.368,3977.8005,4032.8415,4091.4996,4141.3182,4181.5043,4217.1829,4252.1107,4277.6036,4306.9411,4325.4477,4336.7459,4350.2337,4362.482,4372.8184,4373.5629,4373.0308,4373.9043,4384.09,4408.5312,4437.5069,4464.2741,4475.183,4477.2605,4476.3341,4481.0343,4490.4112,4492.6248,4490.9312,4486.6494,4487.7785,4492.2539,4493.0617,4488.5932,4474.3299,4466.6958,4456.5912,4450.1219,4431.3081,4396.4419,4362.3201,4325.0639,4283.0624,4236.8472,4172.5088,4100.2525,4039.8453,3985.8011,3921.201,3836.3675,3720.253,3595.5089,3450.524,3313.7835,3196.6375,3092.7454,2979.5549,2861.5667,2756.4389,2664.8526,2577.8272,2507.0266
"g4",425,"H2",19.6882,335.2629,302.5111,335.0722,325.3467,301.1466,323.0735,338.6319,332.5381,335.8227,351.8267,357.4026,357.0635,361.1842,371.3823,403.416,422.0279,459.7001,471.9794,521.233,569.2033,596.865,609.8785,616.1923,626.7271,668.7408,653.3035,669.5269,670.631,674.4675,663.7856,646.0614,634.85,633.8038,632.2429,629.132,614.0105,621.198,612.7404,616.435,614.4205,600.2098,599.9345,597.4489,596.5269,603.1361,601.7976,604.246,599.3084,588.7839,577.1022,576.4641,565.5553,558.9704,563.0289,569.6167,570.6405,592.0659,615.0578,648.0571,705.416,798.2713,906.384,1031.8382,1170.1292,1311.7177,1484.3179,1678.8306,1878.1392,2086.6329,2294.5076,2482.9236,2642.5984,2780.2508,2892.3481,2977.1616,3044.9076,3099.1132,3153.3265,3205.4438,3243.1281,3267.9174,3294.2053,3321.0447,3342.3596,3344.0182,3347.4336,3360.2625,3372.7289,3383.0667,3393.8861,3409.3034,3415.5845,3416.4073,3420.4465,3448.6218,3477.228,3496.0865,3501.4379,3515.7583,3541.9312,3567.7427,3586.3164,3596.7325,3599.9588,3600.2024,3598.8196,3602.392,3612.1187,3627.184,3627.8899,3624.5073,3617.3619,3615.0757,3608.0183,3591.9066,3562.4228,3520.3682,3486.0755,3464.2465,3435.8696,3393.6657,3321.6005,3230.8274,3148.4412,3068.8207,3006.0456,2958.0883,2892.3502,2809.9461,2747.1397,2691.9876,2632.241,2573.3803,2517.3192,2423.8983,2332.0763,2247.8171,2166.7614
"g4",426,"H2",20.2691,194.4613,261.8005,250.0894,226.4755,236.5023,246.3611,261.6213,240.1444,230.7981,266.5746,276.4303,250.0108,254.3699,280.2971,290.5532,312.4763,337.0381,390.6886,470.3722,501.9896,531.996,583.5051,576.36,604.6824,619.641,640.5983,639.3439,627.5206,619.1288,599.0662,570.7094,546.8038,536.6083,519.1327,510.4999,490.4804,488.7986,470.7601,464.2284,453.2338,444.3648,431.3682,430.8433,419.9093,418.38,412.0983,398.9936,385.9745,375.2993,368.6541,357.5627,347.6651,338.249,332.0474,333.9317,335.5951,345.7399,370.8573,409.7482,476.0318,580.7327,716.0588,878.0785,1057.4753,1254.1914,1474.2184,1720.9143,1987.9366,2257.0665,2521.0906,2786.7562,3023.261,3221.8778,3372.6447,3494.9458,3582.1454,3663.281,3736.864,3803.3019,3857.6981,3897.9293,3918.1746,3927.7407,3948.8323,3973.4849,3989.23,3997.2477,4012.3637,4027.2932,4039.2657,4047.5422,4051.9575,4052.4691,4064.6138,4082.2243,4104.4226,4121.7868,4136.5402,4147.0659,4144.7023,4142.8967,4141.9998,4149.0835,4161.8035,4179.2666,4194.3329,4195.0512,4192.5109,4181.4145,4171.0623,4165.0664,4157.0854,4157.3573,4143.4298,4126.5269,4097.6272,4043.8712,3981.3335,3898.3414,3814.8738,3741.6328,3673.677,3597.4692,3511.3433,3418.8806,3342.5103,3271.2664,3199.0501,3132.8105,3049.9131,2933.3201,2807.4616,2665.4745,2564.0871,2500.914,2478.819,2469.1263,2461.2954
"g4",427,"H2",22.0439,251.2614,261.5813,228.8478,252.3952,261.9625,256.8887,231.3283,258.2395,252.1824,253.634,261.6748,279.2606,289.2787,311.7476,306.0421,330.7493,364.3005,424.0907,474.063,516.165,553.2047,579.3963,604.0915,616.9659,622.9332,641.5568,634.9202,610.4939,588.0586,566.659,554.1388,545.2378,533.2006,536.7593,508.427,509.3652,509.066,482.1903,485.505,480.0461,459.1555,452.5684,445.9959,436.6863,433.7321,420.3199,406.9433,395.7817,389.4248,381.9619,364.7569,354.1051,347.4056,339.6926,339.7255,349.2111,355.7419,380.1934,431.5653,510.067,626.8711,774.363,947.6134,1149.5687,1370.4339,1613.975,1893.779,2198.2057,2504.9281,2804.8904,3081.1713,3324.0573,3519.8644,3681.8952,3806.5962,3911.2494,4006.3665,4083.5043,4133.2022,4179.7583,4225.4202,4263.9673,4282.799,4288.1864,4297.6112,4315.5527,4332.1168,4335.3817,4333.2835,4343.6943,4358.7495,4377.0676,4393.5224,4413.3754,4433.3638,4449.6073,4458.0738,4461.2986,4469.6821,4474.8758,4482.1495,4488.6548,4507.2649,4527.0309,4539.9732,4539.5762,4533.9694,4520.3156,4513.3954,4495.4446,4481.4786,4469.9752,4451.6475,4454.8311,4428.2835,4385.6246,4327.166,4235.5172,4161.0241,4100.2148,4038.4736,3968.9224,3899.8572,3808.3945,3692.9724,3577.407,3464.8518,3358.403,3271.0271,3175.2653,3075.9345,3003.0133,2957.7913,2915.6539,2873.9414,2830.5572,2813.2507,2777.7862
"g4",428,"H2",21.4979,320.7554,369.5502,299.5141,259.2459,322.2803,311.761,293.7002,282.2533,329.1529,331.469,298.1905,313.6614,350.9708,377.4752,382.7451,406.0851,424.3148,475.8895,533.8977,572.2984,599.0758,622.3839,659.7358,681.4041,694.8666,695.9533,691.4963,693.277,678.0199,654.6219,642.4765,620.71,612.7646,609.0167,588.7559,586.3731,577.1201,557.6944,559.8702,559.3078,537.0071,542.3362,531.5818,534.5019,522.7758,510.3784,504.6745,497.2052,491.5876,478.1046,466.6579,462.3591,458.6192,455.215,459.2785,463.1873,473.1228,494.7255,537.5434,612.95,718.06,849.3679,1016.6001,1191.2579,1376.2864,1594.5128,1836.8696,2089.204,2367.8541,2642.8008,2890.8908,3109.7348,3286.1976,3428.7482,3554.3302,3656.0564,3727.3459,3792.9706,3858.395,3906.6078,3934.9238,3959.9107,3994.0735,4031.3799,4041.393,4040.3007,4049.7883,4066.7552,4080.9847,4095.0178,4116.1397,4142.2874,4169.0423,4185.9239,4189.0757,4193.3328,4209.6845,4240.4173,4266.6009,4287.0128,4294.6516,4299.6284,4300.3078,4300.9404,4300.1686,4305.6703,4313.6345,4327.9712,4329.8765,4325.5254,4298.9534,4267.7092,4225.4724,4192.2927,4163.5265,4128.984,4109.7613,4066.7998,4019.9455,3972.2884,3919.3444,3867.3685,3797.4154,3711.2432,3600.6158,3486.0698,3395.2222,3306.1232,3214.7927,3139.9412,3059.0493,2965.9162,2862.4138,2772.9745,2651.7862,2588.9109,2547.6956,2527.4788
"g4",429,"H2",20.0002,250.9373,263.6959,887.9176,212.5044,254.4661,228.2637,220.2419,251.9134,247.7835,233.1711,230.7335,267.5077,264.4318,246.898,284.9009,300.9248,356.2714,399.3215,457.1433,487.5301,524.7577,566.3676,573.0456,593.4712,619.8062,619.9915,616.7496,625.0023,608.9271,581.221,544.9736,528.866,514.6033,494.4373,486.9152,461.227,462.8984,453.0898,440.2786,435.1252,414.7967,401.3223,392.3244,386.2854,386.6717,378.9516,368.4165,364.8859,351.4993,336.6234,329.338,317.2772,306.5986,301.6062,302.1229,301.1842,306.669,329.1885,368.1546,426.0479,531.2803,664.1377,815.6169,997.0972,1192.6976,1398.9843,1642.334,1915.3286,2208.8197,2491.1168,2761.7565,3001.1538,3206.5036,3362.912,3498.4285,3600.7759,3707.81,3788.2602,3846.3511,3886.1413,3922.3423,3957.074,3989.5879,4009.1419,4020.5486,4035.6054,4047.8117,4056.1851,4055.2785,4060.5029,4071.1047,4086.5547,4097.4758,4100.5873,4101.7486,4105.8163,4122.0822,4138.2391,4152.0524,4153.1199,4157.3572,4161.0524,4164.4346,4163.3208,4162.0948,4171.193,4174.2057,4180.0298,4173.2774,4157.4321,4140.1252,4123.068,4112.6861,4124.093,4137.6239,4139.2526,4111.6896,4041.9358,3956.6464,3864.8454,3794.5335,3728.6172,3634.7235,3517.9274,3391.6385,3277.0543,3188.8829,3130.5791,3079.898,3022.9162,2967.3093,2883.3983,2786.7607,2690.913,2586.1612,2476.6823,2385.2392,2294.2138
"g4",430,"H2",20.9401,360.5233,269.8171,265.2246,300.4199,312.0248,332.1295,301.9548,330.9726,325.8979,345.6306,341.9771,329.614,349.2775,372.6343,385.4818,385.2895,427.3146,495.7854,536.5906,552.7834,586.4837,605.7921,628.3063,657.5007,658.1912,669.3996,685.7597,689.6533,679.6005,662.1609,647.3388,627.1315,625.0508,607.8993,596.3958,596.0849,582.2198,577.286,572.4522,580.9569,578.4058,568.4055,564.6188,559.9319,566.4737,556.754,550.9643,546.9229,535.1415,539.4436,533.4539,526.0511,518.0995,518.0785,526.7311,529.2978,541.4193,568.9015,613.1941,678.0211,761.0677,872.4362,1017.0846,1171.7259,1336.3951,1521.5621,1723.6584,1945.2797,2182.8371,2424.4048,2636.4162,2821.5796,2982.7683,3122.9115,3226.6812,3316.1193,3376.1021,3430.5732,3493.0987,3541.4477,3566.8134,3594.7009,3618.353,3636.2659,3656.031,3680.0204,3700.5377,3715.5059,3728.8769,3744.0072,3756.5526,3769.1826,3791.8972,3812.6498,3826.3004,3835.398,3837.0834,3839.9655,3850.0836,3874.4227,3897.0835,3915.4236,3930.2373,3941.748,3952.3038,3960.8289,3971.7553,3981.0934,3983.3237,3974.8075,3958.3022,3943.6103,3924.5685,3909.8444,3879.5886,3840.727,3786.2152,3725.7285,3670.7767,3609.582,3555.1308,3523.7563,3483.1853,3429.0147,3357.2343,3253.4589,3169.6411,3087.8859,3006.5943,2927.9928,2857.8073,2789.542,2729.6066,2671.5602,2608.3018,2534.5545,2456.1443,2373.1597
